RGN_ORI,RGN_DES,RGN_LANE_MI,NETWORK_TYPE,NO_BID,CURR_PRICE_PER_MI,CURR_CTRC_DAT_PER_MI,MDL_WINRATE_AT_NO_CHANGE,N_LOADS_BASE_CMPL_TOTAL,LANE_TYPE,N_LOADS_NC_TENDERED_TOTAL_CURR_PRICE,N_LOADS_NC_TENDERED_TOTAL_SOLN_PRICE,CO_COST_PER_LOAD,CO_CTBN_PER_LOAD_NC,OO_CTBN_PER_LOAD_NC,PO_CTBN_PER_LOAD_NC,LANE_CODE,PRICE_RECOMMENDATION
CP14,PS10,356,CORE,FALSE,1.923197997779979,1.8072517585702632,4.253947302704008,1740,DENSE,77.59290031201948,175.3365127497716,542.775,3.755487209672424,188.5304872096724,238.5304872096724,CP14-PS10,-40.00%
CP16,PS10,447,CORE,FALSE,1.512377765013402,1.521464578096249,3.9794730030449377,142.5,DENSE,31.609735494977144,82.86795832,654.865,-102.204139,135.6608609609906,149.6608609609906,CP16-PS10,-30.00%
CP16,PS16,275,AUGMENTED,FALSE,2.3139735148659417,2.8228338702057614,7.847953730141931,80,DENSE,12.548104054269665,30.87876275974946,447.37307859660416,101.1646379915299,184.16771658813406,333.16771658813406,CP16-PS16,-30.00%
CP02,PS02,736,AUGMENTED,FALSE,2.0654395629223243,2.1816580247207447,4.065243680593601,2.5,DENSE,10.335358133843656,25.302007817563798,982.8777117955542,285.5738065152764,219.45151831083058,278.4515183108306,CP02-PS02,-20.00%
CP02,PS10,465,CORE,FALSE,1.5653874946502078,1.3574273992515828,1.4578982438460697,500,DENSE,14.22833195288908,37.72743620446594,662.74,-38.06481499,103.67518501234667,-164.324815,CP02-PS10,-20.00%
CP06,PS10,413,CORE,FALSE,1.462077234043053,1.5240353450565156,4.356155116493623,85,DENSE,27.392951568235336,55.92798998791864,617.2723154,-91.90441777,30.367897659780965,90.36789765978097,CP06-PS10,-20.00%
CP14,CP02,199,AUGMENTED,FALSE,4.405559892537791,4.042295687,1.4838759137474071,135,DENSE,10.022527066482178,28.35282971019253,347.905,388.3074186150203,289.2124186150203,218.21241861502028,CP14-CP02,-20.00%
CP02,CP14,204,AUGMENTED,FALSE,3.0465155565449042,3.4477909039106143,5.203966263331094,122.5,DENSE,51.657374443292525,77.57591579433236,353.905,217.6041735351605,204.50917353516047,-0.490826465,CP02-CP14,-10.00%
CP02,PS08,437,AUGMENTED,FALSE,2.1408866060153313,2.8943849319101123,12.130104937625228,7.5,DENSE,15.809723956203424,21.28736485892944,606.56,257.3394468286999,253.89944682869987,170.89944682869987,CP02-PS08,-10.00%
CP06,CP14,51,AUGMENTED,FALSE,5.519745568010313,6.994776622972973,8.050523876326276,0,DENSE,38.50785613190924,56.74960005415865,198.53731542569903,191.97770854282695,121.41502396852596,110.41502396852596,CP06-CP14,-10.00%
CP16,CP09,132,AUGMENTED,FALSE,5.463447356802136,5.979288322,3.995758683225527,0,DENSE,12.732051606393828,21.362546456361326,354.93,295.75705109788197,284.6870511,192.68705109788198,CP16-CP09,-10.00%
CP12,PS10,258,CORE,FALSE,1.7185451605156834,2.556931664961999,19.173883760180853,55,DENSE,118.81311118009164,100.26901062644605,428.925,40.00165141304632,124.92665141304633,104.92665141304633,CP12-PS10,10.00%
CP14,PS02,706,CORE,FALSE,2.516430692030957,1.9967036366571835,3.3830572729031223,560,DENSE,33.46770568,29.289384751927287,948.6527117955542,789.2373567783017,678.1500685738558,548.1500685738558,CP14-PS02,10.00%
GL04,GL08,108,AUGMENTED,FALSE,3.4134473568021355,3.911726523,5.411344047870709,0,DENSE,12.261494695302336,7.494402303129696,269.6346476291133,134.5496669055173,-52.81568547,-93.81568547,GL04-GL08,10.00%
